spec,num_agents,epi,planner,diffusion_method,area_size,env_gcbf_goal_scale,achievable_guidance,stl_mixed_spec_mode,num_candidates,max_step,spec_len,success_mean,success_std,safe_mean,task_rate,task_rate_std,TtR,TtR_std,plan_time_mean,plan_time_std,finish_rate,id,url,tags,_source
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,diffusion,edm-ma,6,,False,first1,8,4800,15,97.5,5.0,100.0,,,1981.8570556640625,72.27025604248047,29.4941,6.4839,0.975000023841858,tzsgskga,https://wandb.ai/csbric/diff-mastl-test/runs/tzsgskga,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,16,10,diffusion,edm-ma,6,,False,first1,8,4800,15,96.25,7.5,98.125,,,2059.530029296875,80.04463958740234,25.545,2.997,0.981249988079071,sk862wf0,https://wandb.ai/csbric/diff-mastl-test/runs/sk862wf0,_2yzs5p7mn3boo6_20260623T065040Z,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,diffusion,edm-ma,6,,True,first1,8,4800,15,98.75,3.75,100.0,,,1804.3929443359375,67.46450805664062,124.8063,43.013,0.987500011920929,55fzhpw4,https://wandb.ai/csbric/diff-mastl-test/runs/55fzhpw4,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,diffusion,edm-ma,6,,True,first1,8,4800,15,98.75,3.75,100.0,,,1564.9642333984375,86.1529541015625,130.8338,34.3389,0.987500011920929,s2z8osjm,https://wandb.ai/csbric/diff-mastl-test/runs/s2z8osjm,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,diffusion,edm-ma,6,,False,first1,8,4800,15,100.0,0.0,100.0,,,1750.0,126.09123229980467,29.0274,6.4279,1.0,f5d2gd50,https://wandb.ai/csbric/diff-mastl-test/runs/f5d2gd50,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,diffusion,edm,6,,False,first1,8,4800,15,91.25,9.762812094883317,96.25,,,1868.0477294921875,226.8262634277344,10.9626,8.7563,0.9375,33jhhwt0,https://wandb.ai/csbric/diff-mastl-test/runs/33jhhwt0,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,16,10,diffusion,edm-ma,6,,False,first1,8,4800,15,98.75,2.5,100.0,,,1794.9749755859375,82.58980560302734,25.1853,2.7253,0.987500011920929,rceicdzr,https://wandb.ai/csbric/diff-mastl-test/runs/rceicdzr,_9teomy2bdo5zpd_20260623T072233Z,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,16,10,diffusion,edm,6,,False,first1,8,4800,15,82.5,11.792476415070755,87.5,,,2070.75146484375,183.5625762939453,10.0701,6.2698,0.943750023841858,wzsmzw93,https://wandb.ai/csbric/diff-mastl-test/runs/wzsmzw93,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,8,10,ce_nl,edm-ma,6,,False,first1,8,6000,30,27.500000000000004,12.247448713915892,97.5,,,1446.3333740234375,164.56809997558594,39.5939,11.5994,0.2750000059604645,lhnguq6l,https://wandb.ai/csbric/diff-mastl-test/runs/lhnguq6l,,native-a6
mseq3-m2branch2-mcover3-m2loop3-m2signal3,16,10,diffusion,edm-ma,6,,True,first1,8,4800,15,96.25,5.0,98.75,,,1898.5191650390625,86.51515197753906,360.8085,2.7335,0.975000023841858,a885e910,https://wandb.ai/csbric/diff-mastl-test/runs/a885e910,_awtrtzi0ksj7ic_20260623T071159Z,native-a6
