num_agents,epi,max_step,area_size,n_obs,safe_mean,safe_std,finish_mean,finish_std,success_mean,success_std,max_path_score,min_path_score,mean_path_score,finish_rate,TtR,ma_stl_score,ma_stl_satisfaction,strict_ma_stl_satisfaction,valid_plan_coverage,valid_path_overlap,valid_path_mean_dist,valid_path_clusters,valid_path_max_cluster_fraction,valid_path_occ_entropy,valid_agents_per_cluster,mean_traj_plan_deviation,max_traj_plan_deviation,std_traj_plan_deviation,cumulative_traj_plan_deviation,tasks_completed,tasks_total,task_rate,task_success_rate,tasks_completed_by_monitor,allocation_quality,mean_travel_distance,max_path_score_std,min_path_score_std,mean_path_score_std,finish_rate_std,TtR_std,ma_stl_score_std,ma_stl_satisfaction_std,strict_ma_stl_satisfaction_std,valid_plan_coverage_std,valid_path_overlap_std,valid_path_mean_dist_std,valid_path_clusters_std,valid_path_max_cluster_fraction_std,valid_path_occ_entropy_std,valid_agents_per_cluster_std,mean_traj_plan_deviation_std,max_traj_plan_deviation_std,std_traj_plan_deviation_std,cumulative_traj_plan_deviation_std,tasks_completed_std,tasks_total_std,task_rate_std,task_success_rate_std,tasks_completed_by_monitor_std,allocation_quality_std,mean_travel_distance_std,planner,spec_len,spec,async_planner,map,multiple_goal,team_alloc,plan_time_mean,plan_time_std,comments
8,5,900,6.0,0,100.0,0.0,85.0,12.247,85.0,12.247,0.45,-1.09,0.11,0.85,682.79,-0.73,0.4,0.4,0.13,0.0,2.95,6.2,0.2,0.99,1.17,0.14,0.28,0.04,2.08,3.4,4.0,0.85,0.85,,,,0.03,1.01,0.13,0.12,66.57,0.86,0.49,0.49,0.01,0.0,0.3,0.4,0.06,0.0,0.15,0.01,0.17,0.02,0.09,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.3128,0.1435,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True
8,5,900,6.0,0,100.0,0.0,90.0,12.247,90.0,12.247,0.47,-0.39,0.26,0.9,644.71,-0.28,0.6,0.6,0.12,0.0,3.06,5.8,0.25,0.99,1.3,0.16,0.46,0.09,2.38,3.6,4.0,0.9,0.9,,,,0.02,0.65,0.09,0.12,72.93,0.69,0.49,0.49,0.01,0.0,0.21,0.98,0.0,0.0,0.13,0.05,0.52,0.12,0.75,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,oracle_hungarian,8.6731,0.4041,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True
16,5,1200,6.0,0,98.75,2.5,75.0,15.811,74.062,15.922,0.47,-1.6,0.07,0.75,763.67,-0.97,0.2,0.0,0.2,0.0,2.86,9.2,0.16,0.98,1.53,0.14,0.39,0.05,2.05,3.0,4.0,0.75,0.7,,,,0.01,0.81,0.11,0.16,48.29,0.64,0.4,0.0,0.02,0.0,0.25,1.17,0.05,0.0,0.24,0.01,0.2,0.02,0.13,0.63,0.0,0.16,0.19,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,16.5622,0.3571,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True
16,5,1200,6.0,0,91.25,8.478,85.0,12.247,76.562,4.193,0.47,-0.95,0.23,0.85,735.61,-0.74,0.4,0.0,0.19,0.0,2.95,8.8,0.24,0.97,1.71,0.13,0.25,0.03,2.01,3.4,4.0,0.85,0.55,,,,0.01,0.76,0.06,0.12,63.5,0.79,0.49,0.0,0.02,0.0,0.2,1.17,0.03,0.0,0.23,0.01,0.05,0.01,0.13,0.49,0.0,0.12,0.19,,,,stlpy,15,team_redun4x4_t15,True,,False,oracle_hungarian,18.1382,0.1682,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True
32,5,1500,6.0,0,91.25,3.644,75.0,0.0,68.438,2.733,0.47,-2.03,0.1,0.75,857.95,-1.18,0.0,0.0,0.33,0.0,2.81,11.8,0.19,0.97,2.46,0.14,0.53,0.05,2.06,3.0,4.0,0.75,0.3,,,,0.01,0.12,0.05,0.0,39.8,0.22,0.0,0.0,0.02,0.0,0.16,1.72,0.02,0.0,0.37,0.0,0.18,0.01,0.07,0.0,0.0,0.0,0.24,,,,stlpy,15,team_redun4x8_t15,True,,False,greedy,32.5725,0.1279,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,5,1500,6.0,0,83.125,6.435,80.0,10.0,66.875,12.506,0.47,-1.17,0.21,0.8,892.73,-0.94,0.2,0.0,0.29,0.0,2.88,9.0,0.24,0.96,3.41,0.14,0.42,0.05,2.1,3.2,4.0,0.8,0.2,,,,0.01,0.6,0.03,0.1,55.84,0.58,0.4,0.0,0.02,0.0,0.12,1.26,0.02,0.0,0.53,0.01,0.1,0.01,0.09,0.4,0.0,0.1,0.19,,,,stlpy,15,team_redun4x8_t15,True,,False,oracle_hungarian,32.8467,0.2221,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,90.0,12.247,90.0,12.247,0.47,-0.63,0.19,0.9,684.4,-0.37,0.6,0.6,0.14,0.0,2.98,6.4,0.2,0.99,1.16,0.14,0.28,0.03,2.13,3.6,4.0,0.9,0.9,,,,0.01,0.95,0.14,0.12,64.77,0.81,0.49,0.49,0.02,0.0,0.32,0.49,0.06,0.0,0.15,0.01,0.17,0.02,0.14,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.6662,0.4231,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,90.0,12.247,90.0,12.247,0.47,-0.32,0.27,0.9,642.71,-0.24,0.6,0.6,0.12,0.0,3.04,6.0,0.25,0.99,1.28,0.17,0.5,0.11,2.51,3.6,4.0,0.9,0.9,,,,0.02,0.66,0.1,0.12,72.79,0.66,0.49,0.49,0.02,0.0,0.21,0.63,0.0,0.0,0.1,0.07,0.6,0.17,1.02,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,oracle_hungarian,8.6673,0.4281,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,100.0,0.0,85.0,12.247,85.0,12.247,0.48,-1.03,0.19,0.85,766.71,-0.62,0.4,0.4,0.22,0.0,2.86,10.0,0.16,0.98,1.54,0.15,0.35,0.04,2.2,3.4,4.0,0.85,0.85,,,,0.01,0.87,0.07,0.12,57.95,0.69,0.49,0.49,0.02,0.0,0.23,1.1,0.05,0.0,0.17,0.01,0.1,0.01,0.12,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,18.2789,0.3609,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,91.25,8.478,90.0,12.247,81.562,10.097,0.47,-0.59,0.27,0.9,732.07,-0.46,0.6,0.0,0.2,0.0,2.94,9.4,0.24,0.97,1.68,0.14,0.25,0.03,2.08,3.6,4.0,0.9,0.6,,,,0.01,0.79,0.05,0.12,57.88,0.82,0.49,0.0,0.02,0.0,0.2,1.5,0.03,0.0,0.24,0.01,0.05,0.01,0.08,0.49,0.0,0.12,0.25,,,,stlpy,15,team_redun4x4_t15,True,,False,oracle_hungarian,18.0335,1.0092,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
