spec,num_agents,epi,planner,team_alloc,team_disjunctive,team_avoid,global_stl_only,ma_stl_loss_coeff,achievable_loss_coeff,achievable_guidance,env_gcbf_goal_scale,area_size,success_mean,success_std,safe_mean,task_rate,task_rate_std,task_success_rate,TtR,TtR_std,plan_time_mean,plan_time_std,finish_rate,id,url,gs,_source,tags
team_choiceseq3,32,10,diffusion,greedy,True,True,False,1,0.1,False,1.25,6,76.25,10.933034802834936,76.25,1.0,0.0,0.15000000596046448,2447.551025390625,447.0809326171875,2.9103,3.3515,1.0,k8kfrm63,https://wandb.ai/csbric/gcbfplus-stl-test/runs/k8kfrm63,1.25,choiceseq_gs125,"a6,combo-sweep,emergent,goal-scale,gs1.25,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,stlpy,greedy,False,True,False,1,0.1,False,1.25,6,32.96875,11.080537907182125,44.375,0.75,0.25,0.0,1933.5,128.04869079589844,18.2228,0.3801,0.75,rde6rrbt,https://wandb.ai/csbric/gcbfplus-stl-test/runs/rde6rrbt,1.25,choiceseq_gs125,"a6,combo-sweep,goal-scale,gs1.25,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,greedy,False,True,False,1,0.1,False,1.25,6,82.8125,9.504316453590969,82.8125,1.0,0.0,0.0,2518.666748046875,329.8199768066406,42.0221,1.3553,1.0,5yd8nng3,https://wandb.ai/csbric/gcbfplus-stl-test/runs/5yd8nng3,1.25,choiceseq_gs125,"a6,combo-sweep,goal-scale,gs1.25,nan-fix,spec-v2,stagger,team-final"
team_redun4x8,32,1,diffusion,greedy,True,True,False,1,0.1,False,,6,96.875,0.0,96.875,1.0,0.0,0.75,1345.0,0.0,10.7896,0.0,1.0,idug2flu,https://wandb.ai/csbric/gcbfplus-stl-test/runs/idug2flu,1.0,redun,task-repair-ab
team_redun4x8,32,10,diffusion,greedy,True,True,False,1,0.1,False,,6,85.46875,10.318416863186911,90.0,0.949999988079071,0.10000000149011612,0.3499999940395355,1920.549072265625,527.7392578125,10.9024,0.3824,0.949999988079071,d2bhr6m8,https://wandb.ai/csbric/gcbfplus-stl-test/runs/d2bhr6m8,1.0,redun,task-repair-ab
team_redun4x4,16,1,diffusion,greedy,True,True,False,1,0.1,True,,6,100.0,0.0,100.0,1.0,0.0,1.0,1255.0,0.0,153.0584,0.0,1.0,8d6wxhzo,https://wandb.ai/csbric/gcbfplus-stl-test/runs/8d6wxhzo,1.0,redun,ach-bench
team_redun4x4,16,1,diffusion,greedy,True,True,False,1,0.1,True,,6,100.0,0.0,100.0,1.0,0.0,1.0,1386.0,0.0,56.5679,0.0,1.0,7tounq8q,https://wandb.ai/csbric/gcbfplus-stl-test/runs/7tounq8q,1.0,redun,ach-bench
team_redun4x4,16,3,diffusion,greedy,True,True,False,1,0.1,True,,6,95.83333333333334,5.892556509887896,95.83333333333334,1.0,0.0,0.9166666865348816,1374.77783203125,141.56935119628906,19.1108,18.3592,1.0,7kmde7o5,https://wandb.ai/csbric/gcbfplus-stl-test/runs/7kmde7o5,1.0,redun,ach-bench
team_redun4x8,32,10,diffusion,greedy,True,True,False,1,0.1,True,,6,85.234375,14.550768141772618,92.5,0.925000011920929,0.16007810831069946,0.45000001788139343,1862.12060546875,523.998046875,106.734,0.1878,0.925000011920929,wq3b9k4f,https://wandb.ai/csbric/gcbfplus-stl-test/runs/wq3b9k4f,1.0,redun,ach-bench
team_redun4x2,8,10,diffusion,greedy,True,True,False,1,0.1,False,,6,100.0,0.0,100.0,1.0,0.0,1.0,1416.3333740234375,161.05345153808594,2.0706,2.9146,1.0,kxfnwm84,https://wandb.ai/csbric/gcbfplus-stl-test/runs/kxfnwm84,1.0,redun,"a6,emergent,team-final"
