fig,spec,spec_label,num_agents,planner_label,role,source,reproducible,run_id,project,url,commit,created,host,env,repro_args,orig_args,log_suffix,epi,max_step,area_size,spec_len,stl_mixed_spec_mode,diffusion_method,achievable_guidance,use_batched_sampling,random_goals_region,team_alloc,gs,ref_success_mean,ref_success_std,ref_safe_mean,ref_safe_std,ref_finish_rate,ref_finish_rate_std,ref_TtR,ref_TtR_std,ref_plan_time_mean,ref_plan_time_std,ref_task_rate,ref_task_rate_std,note
random_loc,m2branch2,Branch,8,DIFF-MA,bar,random_loc,yes,wfr2ujm6,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/wfr2ujm6,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --wandb-tags random-loc-grid-a6 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8,_repro_wfr2ujm6,10,1800.0,6,15,first1,edm-ma,False,False,,greedy,,95.0,6.123724356957945,100.0,0.0,0.949999988079071,0.06123724579811096,1196.71435546875,49.70421600341797,0.1872,0.0475,,,
random_loc,m2branch2,Branch,8,DIFF-SA,bar,random_loc,yes,yqmxqmht,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/yqmxqmht,8499d431,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --wandb-tags random-loc-grid-a6 edm-baseline --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt,_repro_yqmxqmht,10,1800.0,6,15,first1,edm,False,False,,greedy,,93.75,6.25,98.75,3.75,0.949999988079071,0.06123724579811096,960.2857666015624,57.67431640625,0.1546,0.0012,,,
random_loc,m2branch2,Branch,8,STLPY-SA,bar,random_loc,yes,ipz5w1ae,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/ipz5w1ae,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --planner stlpy,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 8 --spec m2branch2 --wandb-tags random-loc-grid-a6 --planner stlpy,_repro_ipz5w1ae,10,1800.0,6,15,first1,edm-ma,False,False,,greedy,,86.25,10.383279828647591,98.75,3.75,0.875,0.09682458639144896,552.2428588867188,42.39687728881836,9.1957,0.1276,,,
random_loc,m2branch2,Branch,8,Gradient,bar,random_loc,no-code,c9gwoygz,diff-mastl-test,https://wandb.ai/csbric/diff-mastl-test/runs/c9gwoygz,0274dda0,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log -n 8 --spec m2branch2 --planner ce_nl --random-goals,--path pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log -n 8 --spec m2branch2 --planner ce_nl --random-goals,_repro_c9gwoygz,5,4200.0,6,30,first1,edm-ma,False,False,,,,47.5,24.23839928708165,100.0,0.0,0.4749999940395355,0.24238398671150208,1479.0,313.1885986328125,13.3879,0.4852,,,not re-run: ce_nl planner is not in the pinned code (unpublished commit 0274dda0); plot_reproduced.py uses the ref_* values
random_loc,m2branch2,Branch,16,DIFF-MA,bar,random_loc,yes,ofgoih55,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/ofgoih55,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --achievable_guidance,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --wandb-tags random-loc-grid-a6 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --achievable_guidance,_repro_ofgoih55,10,2400.0,6,15,first1,edm-ma,True,False,,greedy,,96.25,4.14578098794425,99.375,1.875,0.96875,0.03125,1300.3167724609375,64.38375091552734,4.8665,1.709,,,
random_loc,m2branch2,Branch,16,DIFF-SA,bar,random_loc,yes,nk7anw5r,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/nk7anw5r,8499d431,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --use_batched_sampling --num_candidates 8,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --wandb-tags random-loc-grid-a6 edm-baseline edm-bo8 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --use_batched_sampling --num_candidates 8,_repro_nk7anw5r,10,2400.0,6,15,first1,edm,False,True,,greedy,,88.125,6.525191568069093,95.625,5.625000000000001,0.918749988079071,0.048814062029123306,1089.967041015625,93.14168548583984,0.3853,0.0645,,,
random_loc,m2branch2,Branch,16,STLPY-SA,bar,random_loc,yes,mm85t4es,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/mm85t4es,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --planner stlpy,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 16 --spec m2branch2 --wandb-tags random-loc-grid-a6 --planner stlpy,_repro_mm85t4es,10,2400.0,6,15,first1,edm-ma,False,False,,greedy,,81.875,13.243512562760678,93.125,10.986497394529342,0.8812500238418579,0.09035520255565643,639.7915649414062,76.41682434082031,18.468,0.2237,,,
random_loc,m2branch2,Branch,16,Gradient,bar,random_loc,no-code,x3k7e7ky,diff-mastl-test,https://wandb.ai/csbric/diff-mastl-test/runs/x3k7e7ky,0274dda0,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log -n 16 --spec m2branch2 --planner ce_nl --random-goals,--path pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log -n 16 --spec m2branch2 --planner ce_nl --random-goals,_repro_x3k7e7ky,5,4200.0,6,30,first1,edm-ma,False,False,,,,42.5,21.065374432940896,83.75,12.24744871391589,0.4749999940395355,0.2610076665878296,1488.9886474609375,267.038330078125,26.9792,2.2694,,,not re-run: ce_nl planner is not in the pinned code (unpublished commit 0274dda0); plot_reproduced.py uses the ref_* values
random_loc,m2branch2,Branch,32,DIFF-MA,bar,random_loc,yes,ekvaewct,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/ekvaewct,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec m2branch2 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --achievable_guidance,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec m2branch2 --wandb-tags random-loc-grid-a6 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --achievable_guidance,_repro_ekvaewct,10,3000.0,6,15,first1,edm-ma,True,False,,greedy,,82.5,10.0,90.9375,8.202752967754181,0.909375011920929,0.05668236315250397,1570.3402099609375,82.62432861328125,11.2744,3.9513,,,
random_loc,m2branch2,Branch,32,DIFF-SA,bar,random_loc,yes,y86ji76y,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/y86ji76y,8499d431,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec m2branch2 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --use_batched_sampling --num_candidates 8,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec m2branch2 --wandb-tags random-loc-grid-a6 edm-baseline edm-bo8 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --use_batched_sampling --num_candidates 8,_repro_y86ji76y,10,3000.0,6,15,first1,edm,False,True,,greedy,,75.0,8.94863816454772,81.5625,8.320954347308968,0.8968750238418579,0.05770683288574219,1383.4705810546875,145.5677947998047,0.5504,0.111,,,
